Code,Source,Exchange,Symbol,Depth,Rule,Name,Method,Data Start Date
SCF/CME_TU1_FR,SCF,CME,TU,1,FR,CBOT 2-year US Treasury Note,"Roll on First Day of Month, Backwards Ratio Method",19/09/1990
SCF/CME_TU1_FW,SCF,CME,TU,1,FW,CBOT 2-year US Treasury Note,"Roll on First Day of Month, Calendar-Weighted Method",19/09/1990
SCF/CME_TU1_OB,SCF,CME,TU,1,OB,CBOT 2-year US Treasury Note,"Roll on Open Interest Switch, Backwards Panama Canal Method",19/09/1990
SCF/CME_TU1_OF,SCF,CME,TU,1,OF,CBOT 2-year US Treasury Note,"Roll on Open Interest Switch, Forwards Panama Canal Method",19/09/1990
SCF/CME_TU1_ON,SCF,CME,TU,1,ON,CBOT 2-year US Treasury Note,"Roll on Open Interest Switch, No Price Adjustment",19/09/1990
SCF/CME_TU1_OR,SCF,CME,TU,1,OR,CBOT 2-year US Treasury Note,"Roll on Open Interest Switch, Backwards Ratio Method",19/09/1990
SCF/CME_FF1_EB,SCF,CME,FF,1,EB,CBOT 30-day Federal Funds,"Roll on Last Trading Day, Backwards Panama Canal Method",01/12/1988
SCF/CME_FF1_EF,SCF,CME,FF,1,EF,CBOT 30-day Federal Funds,"Roll on Last Trading Day, Forwards Panama Canal Method",01/12/1988
SCF/CME_FF1_EN,SCF,CME,FF,1,EN,CBOT 30-day Federal Funds,"Roll on Last Trading Day, No Price Adjustment",01/12/1988
SCF/CME_FF1_ER,SCF,CME,FF,1,ER,CBOT 30-day Federal Funds,"Roll on Last Trading Day, Backwards Ratio Method",01/12/1988
SCF/CME_FF1_EW,SCF,CME,FF,1,EW,CBOT 30-day Federal Funds,"Roll on Last Trading Day, Calendar-Weighted Method",01/12/1988
SCF/CME_FF1_FB,SCF,CME,FF,1,FB,CBOT 30-day Federal Funds,"Roll on First Day of Month, Backwards Panama Canal Method",01/12/1988
SCF/CME_FF1_FF,SCF,CME,FF,1,FF,CBOT 30-day Federal Funds,"Roll on First Day of Month, Forwards Panama Canal Method",01/12/1988
SCF/CME_FF1_FN,SCF,CME,FF,1,FN,CBOT 30-day Federal Funds,"Roll on First Day of Month, No Price Adjustment",01/12/1988
SCF/CME_FF1_FR,SCF,CME,FF,1,FR,CBOT 30-day Federal Funds,"Roll on First Day of Month, Backwards Ratio Method",01/12/1988
SCF/CME_FF1_FW,SCF,CME,FF,1,FW,CBOT 30-day Federal Funds,"Roll on First Day of Month, Calendar-Weighted Method",01/12/1988
SCF/CME_FF1_OB,SCF,CME,FF,1,OB,CBOT 30-day Federal Funds,"Roll on Open Interest Switch, Backwards Panama Canal Method",01/12/1988
SCF/CME_FF1_OF,SCF,CME,FF,1,OF,CBOT 30-day Federal Funds,"Roll on Open Interest Switch, Forwards Panama Canal Method",01/12/1988
SCF/CME_FF1_ON,SCF,CME,FF,1,ON,CBOT 30-day Federal Funds,"Roll on Open Interest Switch, No Price Adjustment",01/12/1988
SCF/CME_FF1_OR,SCF,CME,FF,1,OR,CBOT 30-day Federal Funds,"Roll on Open Interest Switch, Backwards Ratio Method",01/12/1988
SCF/CME_FF2_EB,SCF,CME,FF,2,EB,CBOT 30-day Federal Funds,"Roll on Last Trading Day, Backwards Panama Canal Method",01/12/1988
SCF/CME_FF2_EF,SCF,CME,FF,2,EF,CBOT 30-day Federal Funds,"Roll on Last Trading Day, Forwards Panama Canal Method",01/12/1988
SCF/CME_FF2_EN,SCF,CME,FF,2,EN,CBOT 30-day Federal Funds,"Roll on Last Trading Day, No Price Adjustment",01/12/1988
SCF/CME_FF2_ER,SCF,CME,FF,2,ER,CBOT 30-day Federal Funds,"Roll on Last Trading Day, Backwards Ratio Method",01/12/1988
SCF/CME_FF2_EW,SCF,CME,FF,2,EW,CBOT 30-day Federal Funds,"Roll on Last Trading Day, Calendar-Weighted Method",01/12/1988
SCF/CME_FF2_FB,SCF,CME,FF,2,FB,CBOT 30-day Federal Funds,"Roll on First Day of Month, Backwards Panama Canal Method",01/12/1988
SCF/CME_FF2_FF,SCF,CME,FF,2,FF,CBOT 30-day Federal Funds,"Roll on First Day of Month, Forwards Panama Canal Method",01/12/1988
SCF/CME_FF2_FN,SCF,CME,FF,2,FN,CBOT 30-day Federal Funds,"Roll on First Day of Month, No Price Adjustment",01/12/1988
